suicides_no,country,sex,year,age
4,Albania,female,2002,55-74 years
1,Albania,female,2002,5-14 years
1,Albania,male,2002,5-14 years
6,Albania,female,2003,75+ years
16,Albania,male,2003,55-74 years
28,Albania,male,2003,35-54 years
15,Albania,male,2003,15-24 years
14,Albania,female,2003,15-24 years
9,Albania,female,2003,55-74 years
9,Albania,male,2003,25-34 years
9,Albania,female,2003,25-34 years
13,Albania,female,2003,35-54 years
1,Albania,male,2003,75+ years
4,Albania,male,2003,5-14 years
0,Albania,female,2003,5-14 years
4,Albania,male,2004,75+ years
39,Albania,male,2004,35-54 years
16,Albania,male,2004,25-34 years
20,Albania,female,2004,15-24 years
19,Albania,male,2004,15-24 years
3,Albania,female,2004,75+ years
11,Albania,female,2004,25-34 years
10,Albania,male,2004,55-74 years
17,Albania,female,2004,35-54 years
3,Albania,female,2004,55-74 years
3,Albania,female,2004,5-14 years
1,Albania,male,2004,5-14 years
0,Albania,female,2005,15-24 years
0,Albania,female,2005,25-34 years
0,Albania,female,2005,35-54 years
0,Albania,female,2005,5-14 years
0,Albania,female,2005,55-74 years
0,Albania,female,2005,75+ years
0,Albania,male,2005,15-24 years
0,Albania,male,2005,25-34 years
0,Albania,male,2005,35-54 years
0,Albania,male,2005,5-14 years
0,Albania,male,2005,55-74 years
0,Albania,male,2005,75+ years
0,Albania,female,2006,15-24 years
0,Albania,female,2006,25-34 years
0,Albania,female,2006,35-54 years
0,Albania,female,2006,5-14 years
0,Albania,female,2006,55-74 years
0,Albania,female,2006,75+ years
0,Albania,male,2006,15-24 years
0,Albania,male,2006,25-34 years
0,Albania,male,2006,35-54 years
0,Albania,male,2006,5-14 years
0,Albania,male,2006,55-74 years
0,Albania,male,2006,75+ years
8,Albania,male,2007,75+ years
29,Albania,male,2007,35-54 years
14,Albania,male,2007,55-74 years
3,Albania,female,2007,75+ years
9,Albania,male,2007,25-34 years
13,Albania,female,2007,15-24 years
13,Albania,male,2007,15-24 years
8,Albania,female,2007,25-34 years
9,Albania,female,2007,55-74 years
14,Albania,female,2007,35-54 years
4,Albania,male,2007,5-14 years
0,Albania,female,2007,5-14 years
21,Albania,male,2008,25-34 years
37,Albania,male,2008,35-54 years
21,Albania,male,2008,55-74 years
5,Albania,female,2008,75+ years
20,Albania,female,2008,15-24 years
9,Albania,female,2008,25-34 years
19,Albania,female,2008,35-54 years
2,Albania,male,2008,75+ years
11,Albania,male,2008,15-24 years
7,Albania,female,2008,55-74 years
7,Albania,male,2008,5-14 years
1,Albania,female,2008,5-14 years
0,Albania,female,2009,15-24 years
0,Albania,female,2009,25-34 years
0,Albania,female,2009,35-54 years
0,Albania,female,2009,5-14 years
0,Albania,female,2009,55-74 years
0,Albania,female,2009,75+ years
0,Albania,male,2009,15-24 years
0,Albania,male,2009,25-34 years
0,Albania,male,2009,35-54 years
0,Albania,male,2009,5-14 years
0,Albania,male,2009,55-74 years
0,Albania,male,2009,75+ years
20,Albania,male,2010,55-74 years
20,Albania,male,2010,35-54 years
9,Albania,male,2010,25-34 years
2,Albania,male,2010,75+ years
10,Albania,male,2010,15-24 years
6,Albania,female,2010,25-34 years
2,Albania,female,2010,75+ years
12,Albania,female,2010,35-54 years
7,Albania,female,2010,55-74 years
6,Albania,female,2010,15-24 years
2,Albania,female,2010,5-14 years
0,Albania,male,2010,5-14 years
0,Antigua and Barbuda,female,1985,15-24 years
0,Antigua and Barbuda,female,1985,25-34 years
0,Antigua and Barbuda,female,1985,35-54 years
0,Antigua and Barbuda,female,1985,5-14 years
0,Antigua and Barbuda,female,1985,55-74 years
0,Antigua and Barbuda,female,1985,75+ years
0,Antigua and Barbuda,male,1985,15-24 years
0,Antigua and Barbuda,male,1985,25-34 years
0,Antigua and Barbuda,male,1985,35-54 years
0,Antigua and Barbuda,male,1985,5-14 years
0,Antigua and Barbuda,male,1985,55-74 years
0,Antigua and Barbuda,male,1985,75+ years
0,Antigua and Barbuda,female,1986,15-24 years
0,Antigua and Barbuda,female,1986,25-34 years
0,Antigua and Barbuda,female,1986,35-54 years
0,Antigua and Barbuda,female,1986,5-14 years
0,Antigua and Barbuda,female,1986,55-74 years
0,Antigua and Barbuda,female,1986,75+ years
0,Antigua and Barbuda,male,1986,15-24 years
0,Antigua and Barbuda,male,1986,25-34 years
0,Antigua and Barbuda,male,1986,35-54 years
0,Antigua and Barbuda,male,1986,5-14 years
0,Antigua and Barbuda,male,1986,55-74 years
0,Antigua and Barbuda,male,1986,75+ years
0,Antigua and Barbuda,female,1987,15-24 years
0,Antigua and Barbuda,female,1987,25-34 years
0,Antigua and Barbuda,female,1987,35-54 years
0,Antigua and Barbuda,female,1987,5-14 years
0,Antigua and Barbuda,female,1987,55-74 years
0,Antigua and Barbuda,female,1987,75+ years
0,Antigua and Barbuda,male,1987,15-24 years
0,Antigua and Barbuda,male,1987,25-34 years
0,Antigua and Barbuda,male,1987,35-54 years
0,Antigua and Barbuda,male,1987,5-14 years
0,Antigua and Barbuda,male,1987,55-74 years
0,Antigua and Barbuda,male,1987,75+ years
0,Antigua and Barbuda,female,1988,15-24 years
0,Antigua and Barbuda,female,1988,25-34 years
0,Antigua and Barbuda,female,1988,35-54 years
0,Antigua and Barbuda,female,1988,5-14 years
0,Antigua and Barbuda,female,1988,55-74 years
0,Antigua and Barbuda,female,1988,75+ years
0,Antigua and Barbuda,male,1988,15-24 years
0,Antigua and Barbuda,male,1988,25-34 years
0,Antigua and Barbuda,male,1988,35-54 years
0,Antigua and Barbuda,male,1988,5-14 years
0,Antigua and Barbuda,male,1988,55-74 years
0,Antigua and Barbuda,male,1988,75+ years
0,Antigua and Barbuda,female,1989,15-24 years
0,Antigua and Barbuda,female,1989,25-34 years
0,Antigua and Barbuda,female,1989,35-54 years
0,Antigua and Barbuda,female,1989,5-14 years
0,Antigua and Barbuda,female,1989,55-74 years
0,Antigua and Barbuda,female,1989,75+ years
0,Antigua and Barbuda,male,1989,15-24 years
0,Antigua and Barbuda,male,1989,25-34 years
0,Antigua and Barbuda,male,1989,35-54 years
0,Antigua and Barbuda,male,1989,5-14 years
0,Antigua and Barbuda,male,1989,55-74 years
0,Antigua and Barbuda,male,1989,75+ years
1,Antigua and Barbuda,male,1990,35-54 years
0,Antigua and Barbuda,female,1990,15-24 years
0,Antigua and Barbuda,female,1990,25-34 years
0,Antigua and Barbuda,female,1990,35-54 years
0,Antigua and Barbuda,female,1990,5-14 years
0,Antigua and Barbuda,female,1990,55-74 years
0,Antigua and Barbuda,female,1990,75+ years
0,Antigua and Barbuda,male,1990,15-24 years
0,Antigua and Barbuda,male,1990,25-34 years
0,Antigua and Barbuda,male,1990,5-14 years
0,Antigua and Barbuda,male,1990,55-74 years
0,Antigua and Barbuda,male,1990,75+ years
0,Antigua and Barbuda,female,1991,15-24 years
0,Antigua and Barbuda,female,1991,25-34 years
0,Antigua and Barbuda,female,1991,35-54 years
0,Antigua and Barbuda,female,1991,5-14 years
0,Antigua and Barbuda,female,1991,55-74 years
0,Antigua and Barbuda,female,1991,75+ years
0,Antigua and Barbuda,male,1991,15-24 years
0,Antigua and Barbuda,male,1991,25-34 years
0,Antigua and Barbuda,male,1991,35-54 years
0,Antigua and Barbuda,male,1991,5-14 years
0,Antigua and Barbuda,male,1991,55-74 years
0,Antigua and Barbuda,male,1991,75+ years
0,Antigua and Barbuda,female,1992,15-24 years
0,Antigua and Barbuda,female,1992,25-34 years
0,Antigua and Barbuda,female,1992,35-54 years
0,Antigua and Barbuda,female,1992,5-14 years
0,Antigua and Barbuda,female,1992,55-74 years
0,Antigua and Barbuda,female,1992,75+ years
0,Antigua and Barbuda,male,1992,15-24 years
0,Antigua and Barbuda,male,1992,25-34 years
0,Antigua and Barbuda,male,1992,35-54 years
0,Antigua and Barbuda,male,1992,5-14 years
0,Antigua and Barbuda,male,1992,55-74 years
0,Antigua and Barbuda,male,1992,75+ years
1,Antigua and Barbuda,male,1993,25-34 years
0,Antigua and Barbuda,female,1993,15-24 years
0,Antigua and Barbuda,female,1993,25-34 years
0,Antigua and Barbuda,female,1993,35-54 years
0,Antigua and Barbuda,female,1993,5-14 years
0,Antigua and Barbuda,female,1993,55-74 years
0,Antigua and Barbuda,female,1993,75+ years
0,Antigua and Barbuda,male,1993,15-24 years
0,Antigua and Barbuda,male,1993,35-54 years
0,Antigua and Barbuda,male,1993,5-14 years
0,Antigua and Barbuda,male,1993,55-74 years
0,Antigua and Barbuda,male,1993,75+ years
0,Antigua and Barbuda,female,1994,15-24 years
0,Antigua and Barbuda,female,1994,25-34 years
0,Antigua and Barbuda,female,1994,35-54 years
0,Antigua and Barbuda,female,1994,5-14 years
0,Antigua and Barbuda,female,1994,55-74 years
0,Antigua and Barbuda,female,1994,75+ years
0,Antigua and Barbuda,male,1994,15-24 years
0,Antigua and Barbuda,male,1994,25-34 years
0,Antigua and Barbuda,male,1994,35-54 years
0,Antigua and Barbuda,male,1994,5-14 years
0,Antigua and Barbuda,male,1994,55-74 years
0,Antigua and Barbuda,male,1994,75+ years
0,Antigua and Barbuda,female,1995,15-24 years
0,Antigua and Barbuda,female,1995,25-34 years
0,Antigua and Barbuda,female,1995,35-54 years
0,Antigua and Barbuda,female,1995,5-14 years
0,Antigua and Barbuda,female,1995,55-74 years
0,Antigua and Barbuda,female,1995,75+ years
0,Antigua and Barbuda,male,1995,15-24 years
0,Antigua and Barbuda,male,1995,25-34 years
0,Antigua and Barbuda,male,1995,35-54 years
0,Antigua and Barbuda,male,1995,5-14 years
0,Antigua and Barbuda,male,1995,55-74 years
0,Antigua and Barbuda,male,1995,75+ years
0,Antigua and Barbuda,female,1998,15-24 years
0,Antigua and Barbuda,female,1998,25-34 years
0,Antigua and Barbuda,female,1998,35-54 years
0,Antigua and Barbuda,female,1998,5-14 years
0,Antigua and Barbuda,female,1998,55-74 years
0,Antigua and Barbuda,female,1998,75+ years
0,Antigua and Barbuda,male,1998,15-24 years
0,Antigua and Barbuda,male,1998,25-34 years
0,Antigua and Barbuda,male,1998,35-54 years
0,Antigua and Barbuda,male,1998,5-14 years
0,Antigua and Barbuda,male,1998,55-74 years
0,Antigua and Barbuda,male,1998,75+ years
0,Antigua and Barbuda,female,1999,15-24 years
0,Antigua and Barbuda,female,1999,25-34 years
0,Antigua and Barbuda,female,1999,35-54 years
0,Antigua and Barbuda,female,1999,5-14 years
0,Antigua and Barbuda,female,1999,55-74 years
0,Antigua and Barbuda,female,1999,75+ years
0,Antigua and Barbuda,male,1999,15-24 years
0,Antigua and Barbuda,male,1999,25-34 years
0,Antigua and Barbuda,male,1999,35-54 years
0,Antigua and Barbuda,male,1999,5-14 years
0,Antigua and Barbuda,male,1999,55-74 years
0,Antigua and Barbuda,male,1999,75+ years
1,Antigua and Barbuda,male,2000,55-74 years
1,Antigua and Barbuda,male,2000,35-54 years
0,Antigua and Barbuda,female,2000,15-24 years
0,Antigua and Barbuda,female,2000,25-34 years
0,Antigua and Barbuda,female,2000,35-54 years
0,Antigua and Barbuda,female,2000,5-14 years
0,Antigua and Barbuda,female,2000,55-74 years
0,Antigua and Barbuda,female,2000,75+ years
0,Antigua and Barbuda,male,2000,15-24 years
0,Antigua and Barbuda,male,2000,25-34 years
0,Antigua and Barbuda,male,2000,5-14 years
0,Antigua and Barbuda,male,2000,75+ years
2,Antigua and Barbuda,male,2001,35-54 years
0,Antigua and Barbuda,female,2001,15-24 years
0,Antigua and Barbuda,female,2001,25-34 years
0,Antigua and Barbuda,female,2001,35-54 years
0,Antigua and Barbuda,female,2001,5-14 years
0,Antigua and Barbuda,female,2001,55-74 years
0,Antigua and Barbuda,female,2001,75+ years
0,Antigua and Barbuda,male,2001,15-24 years
0,Antigua and Barbuda,male,2001,25-34 years
0,Antigua and Barbuda,male,2001,5-14 years
0,Antigua and Barbuda,male,2001,55-74 years
0,Antigua and Barbuda,male,2001,75+ years
0,Antigua and Barbuda,female,2002,15-24 years
0,Antigua and Barbuda,female,2002,25-34 years
0,Antigua and Barbuda,female,2002,35-54 years
0,Antigua and Barbuda,female,2002,5-14 years
0,Antigua and Barbuda,female,2002,55-74 years
0,Antigua and Barbuda,female,2002,75+ years
0,Antigua and Barbuda,male,2002,15-24 years
0,Antigua and Barbuda,male,2002,25-34 years
0,Antigua and Barbuda,male,2002,35-54 years
0,Antigua and Barbuda,male,2002,5-14 years
0,Antigua and Barbuda,male,2002,55-74 years
0,Antigua and Barbuda,male,2002,75+ years
1,Antigua and Barbuda,male,2003,55-74 years
0,Antigua and Barbuda,female,2003,15-24 years
0,Antigua and Barbuda,female,2003,25-34 years
0,Antigua and Barbuda,female,2003,35-54 years
0,Antigua and Barbuda,female,2003,5-14 years
0,Antigua and Barbuda,female,2003,55-74 years
0,Antigua and Barbuda,female,2003,75+ years
0,Antigua and Barbuda,male,2003,15-24 years
0,Antigua and Barbuda,male,2003,25-34 years
0,Antigua and Barbuda,male,2003,35-54 years
0,Antigua and Barbuda,male,2003,5-14 years
0,Antigua and Barbuda,male,2003,75+ years
1,Antigua and Barbuda,male,2004,55-74 years
1,Antigua and Barbuda,male,2004,35-54 years
0,Antigua and Barbuda,female,2004,15-24 years
0,Antigua and Barbuda,female,2004,25-34 years
0,Antigua and Barbuda,female,2004,35-54 years
0,Antigua and Barbuda,female,2004,5-14 years
0,Antigua and Barbuda,female,2004,55-74 years
0,Antigua and Barbuda,female,2004,75+ years
0,Antigua and Barbuda,male,2004,15-24 years
0,Antigua and Barbuda,male,2004,25-34 years
0,Antigua and Barbuda,male,2004,5-14 years
0,Antigua and Barbuda,male,2004,75+ years
0,Antigua and Barbuda,female,2005,15-24 years
0,Antigua and Barbuda,female,2005,25-34 years
0,Antigua and Barbuda,female,2005,35-54 years
0,Antigua and Barbuda,female,2005,5-14 years
0,Antigua and Barbuda,female,2005,55-74 years
0,Antigua and Barbuda,female,2005,75+ years
0,Antigua and Barbuda,male,2005,15-24 years
0,Antigua and Barbuda,male,2005,25-34 years
0,Antigua and Barbuda,male,2005,35-54 years
0,Antigua and Barbuda,male,2005,5-14 years
0,Antigua and Barbuda,male,2005,55-74 years
0,Antigua and Barbuda,male,2005,75+ years
0,Antigua and Barbuda,female,2006,15-24 years
0,Antigua and Barbuda,female,2006,25-34 years
0,Antigua and Barbuda,female,2006,35-54 years
0,Antigua and Barbuda,female,2006,5-14 years
0,Antigua and Barbuda,female,2006,55-74 years
0,Antigua and Barbuda,female,2006,75+ years
0,Antigua and Barbuda,male,2006,15-24 years
0,Antigua and Barbuda,male,2006,25-34 years
0,Antigua and Barbuda,male,2006,35-54 years
0,Antigua and Barbuda,male,2006,5-14 years
0,Antigua and Barbuda,male,2006,55-74 years
0,Antigua and Barbuda,male,2006,75+ years
1,Antigua and Barbuda,male,2007,35-54 years
0,Antigua and Barbuda,female,2007,15-24 years
0,Antigua and Barbuda,female,2007,25-34 years
0,Antigua and Barbuda,female,2007,35-54 years
0,Antigua and Barbuda,female,2007,5-14 years
0,Antigua and Barbuda,female,2007,55-74 years
0,Antigua and Barbuda,female,2007,75+ years
0,Antigua and Barbuda,male,2007,15-24 years
0,Antigua and Barbuda,male,2007,25-34 years
0,Antigua and Barbuda,male,2007,5-14 years
0,Antigua and Barbuda,male,2007,55-74 years
0,Antigua and Barbuda,male,2007,75+ years
0,Antigua and Barbuda,female,2008,15-24 years
0,Antigua and Barbuda,female,2008,25-34 years
0,Antigua and Barbuda,female,2008,35-54 years
0,Antigua and Barbuda,female,2008,5-14 years
0,Antigua and Barbuda,female,2008,55-74 years
0,Antigua and Barbuda,female,2008,75+ years
0,Antigua and Barbuda,male,2008,15-24 years
0,Antigua and Barbuda,male,2008,25-34 years
0,Antigua and Barbuda,male,2008,35-54 years
0,Antigua and Barbuda,male,2008,5-14 years
0,Antigua and Barbuda,male,2008,55-74 years
0,Antigua and Barbuda,male,2008,75+ years
0,Antigua and Barbuda,female,2009,15-24 years
0,Antigua and Barbuda,female,2009,25-34 years
0,Antigua and Barbuda,female,2009,35-54 years
0,Antigua and Barbuda,female,2009,5-14 years
0,Antigua and Barbuda,female,2009,55-74 years
0,Antigua and Barbuda,female,2009,75+ years
0,Antigua and Barbuda,male,2009,15-24 years
0,Antigua and Barbuda,male,2009,25-34 years
0,Antigua and Barbuda,male,2009,35-54 years
0,Antigua and Barbuda,male,2009,5-14 years
0,Antigua and Barbuda,male,2009,55-74 years
0,Antigua and Barbuda,male,2009,75+ years
0,Antigua and Barbuda,female,2012,15-24 years
0,Antigua and Barbuda,female,2012,25-34 years
0,Antigua and Barbuda,female,2012,35-54 years
0,Antigua and Barbuda,female,2012,5-14 years
0,Antigua and Barbuda,female,2012,55-74 years
0,Antigua and Barbuda,female,2012,75+ years
0,Antigua and Barbuda,male,2012,15-24 years
0,Antigua and Barbuda,male,2012,25-34 years
0,Antigua and Barbuda,male,2012,35-54 years
0,Antigua and Barbuda,male,2012,5-14 years
0,Antigua and Barbuda,male,2012,55-74 years
0,Antigua and Barbuda,male,2012,75+ years
0,Antigua and Barbuda,female,2013,15-24 years
0,Antigua and Barbuda,female,2013,25-34 years
0,Antigua and Barbuda,female,2013,35-54 years
0,Antigua and Barbuda,female,2013,5-14 years
0,Antigua and Barbuda,female,2013,55-74 years
0,Antigua and Barbuda,female,2013,75+ years
0,Antigua and Barbuda,male,2013,15-24 years
0,Antigua and Barbuda,male,2013,25-34 years
0,Antigua and Barbuda,male,2013,35-54 years
0,Antigua and Barbuda,male,2013,5-14 years
0,Antigua and Barbuda,male,2013,55-74 years
0,Antigua and Barbuda,male,2013,75+ years
0,Antigua and Barbuda,female,2014,15-24 years
0,Antigua and Barbuda,female,2014,25-34 years
0,Antigua and Barbuda,female,2014,35-54 years
0,Antigua and Barbuda,female,2014,5-14 years
0,Antigua and Barbuda,female,2014,55-74 years
0,Antigua and Barbuda,female,2014,75+ years
0,Antigua and Barbuda,male,2014,15-24 years
0,Antigua and Barbuda,male,2014,25-34 years
0,Antigua and Barbuda,male,2014,35-54 years
0,Antigua and Barbuda,male,2014,5-14 years
0,Antigua and Barbuda,male,2014,55-74 years
0,Antigua and Barbuda,male,2014,75+ years
1,Antigua and Barbuda,female,2015,55-74 years
0,Antigua and Barbuda,female,2015,15-24 years
0,Antigua and Barbuda,female,2015,25-34 years
0,Antigua and Barbuda,female,2015,35-54 years
0,Antigua and Barbuda,female,2015,5-14 years
0,Antigua and Barbuda,female,2015,75+ years
0,Antigua and Barbuda,male,2015,15-24 years
0,Antigua and Barbuda,male,2015,25-34 years
0,Antigua and Barbuda,male,2015,35-54 years
0,Antigua and Barbuda,male,2015,5-14 years
0,Antigua and Barbuda,male,2015,55-74 years
0,Antigua and Barbuda,male,2015,75+ years
202,Argentina,male,1985,75+ years
485,Argentina,male,1985,55-74 years
414,Argentina,male,1985,35-54 years
210,Argentina,female,1985,55-74 years
177,Argentina,male,1985,25-34 years
41,Argentina,female,1985,75+ years
156,Argentina,male,1985,15-24 years
142,Argentina,female,1985,35-54 years
65,Argentina,female,1985,25-34 years
69,Argentina,female,1985,15-24 years
16,Argentina,male,1985,5-14 years
11,Argentina,female,1985,5-14 years
230,Argentina,male,1986,75+ years
530,Argentina,male,1986,55-74 years
478,Argentina,male,1986,35-54 years
209,Argentina,male,1986,25-34 years
48,Argentina,female,1986,75+ years
201,Argentina,female,1986,55-74 years
186,Argentina,male,1986,15-24 years
188,Argentina,female,1986,35-54 years
96,Argentina,female,1986,25-34 years
101,Argentina,female,1986,15-24 years
10,Argentina,male,1986,5-14 years
7,Argentina,female,1986,5-14 years
200,Argentina,male,1987,75+ years
532,Argentina,male,1987,55-74 years
482,Argentina,male,1987,35-54 years
57,Argentina,female,1987,75+ years
224,Argentina,female,1987,55-74 years
192,Argentina,male,1987,25-34 years
179,Argentina,male,1987,15-24 years
209,Argentina,female,1987,35-54 years
89,Argentina,female,1987,25-34 years
93,Argentina,female,1987,15-24 years
15,Argentina,male,1987,5-14 years
14,Argentina,female,1987,5-14 years
216,Argentina,male,1988,75+ years
550,Argentina,male,1988,55-74 years
477,Argentina,male,1988,35-54 years
61,Argentina,female,1988,75+ years
233,Argentina,female,1988,55-74 years
215,Argentina,male,1988,25-34 years
211,Argentina,male,1988,15-24 years
198,Argentina,female,1988,35-54 years
101,Argentina,female,1988,15-24 years
61,Argentina,female,1988,25-34 years
20,Argentina,male,1988,5-14 years
11,Argentina,female,1988,5-14 years
208,Argentina,male,1989,75+ years
548,Argentina,male,1989,55-74 years
462,Argentina,male,1989,35-54 years
65,Argentina,female,1989,75+ years
219,Argentina,male,1989,25-34 years
201,Argentina,female,1989,55-74 years
186,Argentina,male,1989,15-24 years
166,Argentina,female,1989,35-54 years
83,Argentina,female,1989,25-34 years
80,Argentina,female,1989,15-24 years
18,Argentina,male,1989,5-14 years
11,Argentina,female,1989,5-14 years
226,Argentina,male,1990,75+ years
502,Argentina,male,1990,55-74 years
439,Argentina,male,1990,35-54 years
61,Argentina,female,1990,75+ years
182,Argentina,male,1990,25-34 years
190,Argentina,female,1990,55-74 years
174,Argentina,male,1990,15-24 years
163,Argentina,female,1990,35-54 years
91,Argentina,female,1990,15-24 years
76,Argentina,female,1990,25-34 years
22,Argentina,male,1990,5-14 years
14,Argentina,female,1990,5-14 years
184,Argentina,male,1991,75+ years
449,Argentina,male,1991,55-74 years
398,Argentina,male,1991,35-54 years
214,Argentina,male,1991,25-34 years
50,Argentina,female,1991,75+ years
169,Argentina,female,1991,55-74 years
179,Argentina,male,1991,15-24 years
133,Argentina,female,1991,35-54 years
77,Argentina,female,1991,25-34 years
61,Argentina,female,1991,15-24 years
28,Argentina,male,1991,5-14 years
9,Argentina,female,1991,5-14 years
194,Argentina,male,1992,75+ years
500,Argentina,male,1992,55-74 years
488,Argentina,male,1992,35-54 years
227,Argentina,male,1992,25-34 years
249,Argentina,male,1992,15-24 years
46,Argentina,female,1992,75+ years
147,Argentina,female,1992,55-74 years
140,Argentina,female,1992,35-54 years
79,Argentina,female,1992,25-34 years
79,Argentina,female,1992,15-24 years
22,Argentina,male,1992,5-14 years
13,Argentina,female,1992,5-14 years
229,Argentina,male,1993,75+ years
520,Argentina,male,1993,55-74 years
495,Argentina,male,1993,35-54 years
233,Argentina,male,1993,25-34 years
58,Argentina,female,1993,75+ years
